assistant_sentence;action;ponctuation
Je vais te mettre en relation avec quelqu'un qui peut t'aider.;Recommander une personne compétente;Aff
Je vais te présenter à un professionnel qualifié pour t'assister.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert dans ce domaine spécifique.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un collaborateur expérimenté.;Recommander une personne compétente;Aff
Je vais te présenter à une personne compétente pour répondre à tes besoins.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un expert interne.;Recommander une personne compétente;Aff
Je vais te connecter avec quelqu'un qui possède l'expertise nécessaire.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un membre de l'équipe compétent.;Recommander une personne compétente;Aff
Je vais te présenter à quelqu'un qui pourra te guider efficacement.;Recommander une personne compétente;Aff
Je vais te connecter avec un spécialiste dans ce domaine.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un collègue expérimenté.;Recommander une personne compétente;Aff
Je vais te présenter à un expert interne qui maîtrise ce sujet.;Recommander une personne compétente;Aff
Je vais te connecter avec la personne idéale pour t'aider.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un expert qualifié.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un professionnel compétent.;Recommander une personne compétente;Aff
Je vais te présenter à un collaborateur qualifié.;Recommander une personne compétente;Aff
Je vais te connecter avec un membre de l'équipe qui a l'expertise requise.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un spécialiste qualifié.;Recommander une personne compétente;Aff
Je vais te présenter à quelqu'un qui pourrait répondre à tes questions.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert interne.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec quelqu'un qui peut t'assister.;Recommander une personne compétente;Aff
Je vais te présenter à un professionnel dans l'entreprise.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert compétent dans ce domaine.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec une personne expérimentée dans l'entreprise.;Recommander une personne compétente;Aff
Je vais te présenter à un spécialiste expérimenté de l'entreprise.;Recommander une personne compétente;Aff
Je vais te connecter avec quelqu'un qui peut répondre à tes questions.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un professionnel expérimenté.;Recommander une personne compétente;Aff
Je vais te présenter à un membre de l'équipe qualifié.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un expert en la matière.;Recommander une personne compétente;Aff
Je vais te connecter avec quelqu'un de très compétent dans ce domaine.;Recommander une personne compétente;Aff
Je vais te présenter à un expert reconnu de l'entreprise.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un collègue qualifié.;Recommander une personne compétente;Aff
Je vais te connecter avec la personne idéale pour cette tâche.;Recommander une personne compétente;Aff
Je vais te présenter à un collaborateur compétent pour t'aider.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un spécialiste de confiance.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert interne de l'entreprise.;Recommander une personne compétente;Aff
Je vais te présenter à quelqu'un qui connaît bien le sujet.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un membre qualifié de l'équipe.;Recommander une personne compétente;Aff
Je vais te connecter avec un professionnel compétent et expérimenté.;Recommander une personne compétente;Aff
Je vais te présenter à un expert en la matière dans l'entreprise.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un spécialiste interne.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert qui pourra te conseiller.;Recommander une personne compétente;Aff
Je vais te présenter à quelqu'un qui peut t'offrir de bons conseils.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un collaborateur qui maîtrise le sujet.;Recommander une personne compétente;Aff
Je vais te connecter avec un spécialiste qualifié de notre équipe.;Recommander une personne compétente;Aff
Je vais te présenter à un expert reconnu pour ses compétences.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un professionnel de notre entreprise.;Recommander une personne compétente;Aff
Je vais te connecter avec un collègue expérimenté dans ce domaine.;Recommander une personne compétente;Aff
Je vais te présenter à quelqu'un qui peut vraiment t'aider.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un membre compétent de l'équipe.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert interne qualifié.;Recommander une personne compétente;Aff
Je vais te présenter à un spécialiste qui connaît bien ce sujet.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un collaborateur de confiance.;Recommander une personne compétente;Aff
Je vais te connecter avec un professionnel qualifié de notre entreprise.;Recommander une personne compétente;Aff
Je vais te présenter à un expert interne expérimenté.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec quelqu'un de très compétent.;Recommander une personne compétente;Aff
Je vais te connecter avec un spécialiste interne de confiance.;Recommander une personne compétente;Aff
Je vais te présenter à un membre de l'équipe expérimenté.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec un professionnel qualifié pour t'aider.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert reconnu dans notre domaine.;Recommander une personne compétente;Aff
Je vais te présenter à un collaborateur de l'entreprise qui peut t'aider.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un spécialiste qualifié de notre équipe.;Recommander une personne compétente;Aff
Je vais te connecter avec un membre compétent et expérimenté.;Recommander une personne compétente;Aff
Je vais te présenter à un expert de notre entreprise.;Recommander une personne compétente;Aff
Laisse-moi te mettre en contact avec quelqu'un de compétent dans l'entreprise.;Recommander une personne compétente;Aff
Je vais t'introduire à une personne qui peut t'aider.;Recommander une personne compétente;Aff
Permets-moi de te mettre en relation avec un expert dans ce domaine.;Recommander une personne compétente;Aff
Je connais un collègue compétent que je vais te présenter.;Recommander une personne compétente;Aff
Je vais t'aider en te connectant avec le spécialiste approprié.;Recommander une personne compétente;Aff
Je m'occuperai de te mettre en contact avec quelqu'un de compétent.;Recommander une personne compétente;Aff
Je vais te faire rencontrer un expert interne qui peut t'aider.;Recommander une personne compétente;Aff
Je vais t'introduire à la personne adéquate.;Recommander une personne compétente;Aff
Je vais arranger une rencontre avec un professionnel qualifié.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un collègue compétent.;Recommander une personne compétente;Aff
Je vais organiser une présentation avec un spécialiste dans ce domaine.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un expert interne.;Recommander une personne compétente;Aff
Je vais t'introduire à quelqu'un qui maîtrise le sujet.;Recommander une personne compétente;Aff
Je vais te connecter avec un membre de l'équipe compétent.;Recommander une personne compétente;Aff
Je vais organiser une présentation avec un expert de l'entreprise.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec la bonne personne.;Recommander une personne compétente;Aff
Je vais m'occuper de te mettre en relation avec quelqu'un qui peut t'aider.;Recommander une personne compétente;Aff
Je vais te présenter à un professionnel qualifié pour t'assister.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert dans ce domaine spécifique.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un collaborateur expérimenté.;Recommander une personne compétente;Aff
Je vais te présenter une personne compétente pour répondre à tes besoins.;Recommander une personne compétente;Aff
Je vais m'occuper de te mettre en contact avec un expert interne.;Recommander une personne compétente;Aff
Je vais te connecter avec quelqu'un qui possède l'expertise nécessaire.;Recommander une personne compétente;Aff
Je vais organiser une rencontre avec un membre de l'équipe compétent.;Recommander une personne compétente;Aff
Je vais te présenter quelqu'un qui pourra te guider efficacement.;Recommander une personne compétente;Aff
Je vais te connecter avec un spécialiste dans ce domaine.;Recommander une personne compétente;Aff
Je vais organiser une introduction avec un collègue expérimenté.;Recommander une personne compétente;Aff
Je vais te présenter un expert interne qui maîtrise ce sujet.;Recommander une personne compétente;Aff
Je vais t'introduire à la personne idéale pour t'aider.;Recommander une personne compétente;Aff
Je vais te mettre en relation avec un expert qualifié.;Recommander une personne compétente;Aff
Je vais m'occuper de te mettre en contact avec un professionnel compétent.;Recommander une personne compétente;Aff
Je vais organiser une rencontre avec un collaborateur qualifié.;Recommander une personne compétente;Aff
Je vais te connecter avec un membre de l'équipe qui a l'expertise requise.;Recommander une personne compétente;Aff
Je vais t'introduire à un spécialiste qualifié.;Recommander une personne compétente;Aff
Je vais te présenter quelqu'un qui pourrait répondre à tes questions.;Recommander une personne compétente;Aff
Je vais organiser une introduction avec un expert interne.;Recommander une personne compétente;Aff
Je vais m'occuper de te mettre en relation avec quelqu'un qui peut t'assister.;Recommander une personne compétente;Aff
Je vais te présenter un professionnel dans l'entreprise.;Recommander une personne compétente;Aff
Je vais te connecter avec un expert compétent dans ce domaine.;Recommander une personne compétente;Aff
Je vais organiser une introduction avec une personne expérimentée dans l'entreprise.;Recommander une personne compétente;Aff
Je vais veiller à te mettre en relation avec la personne compétente.;Recommander une personne compétente;Aff
Je vais te faire rencontrer l'expert approprié.;Recommander une personne compétente;Aff
Je vais te mettre en lien avec un spécialiste qualifié.;Recommander une personne compétente;Aff
Je vais m'occuper de te connecter avec quelqu'un de très compétent.;Recommander une personne compétente;Aff
Je vais organiser une présentation avec l'expert en question.;Recommander une personne compétente;Aff
Je vais te faire rencontrer un professionnel qualifié.;Recommander une personne compétente;Aff
Je vais arranger une introduction avec un expert interne.;Recommander une personne compétente;Aff
Je vais te mettre en contact avec le collaborateur idéal.;Recommander une personne compétente;Aff
Je vais veiller à ce que tu sois mis en relation avec un spécialiste compétent.;Recommander une personne compétente;Aff
Je vais organiser une rencontre avec le professionnel adéquat.;Recommander une personne compétente;Aff
Je vais m'occuper de te mettre en contact avec l'expert nécessaire.;Recommander une personne compétente;Aff
Je vais te faire rencontrer un membre de l'équipe qualifié.;Recommander une personne compétente;Aff
Je vais arranger une introduction avec quelqu'un qui connaît bien le sujet.;Recommander une personne compétente;Aff
Je vais veiller à ce que tu sois mis en relation avec un professionnel compétent.;Recommander une personne compétente;Aff
Je vais organiser une présentation avec un expert dans ce domaine.;Recommander une personne compétente;Aff
Je vais m'occuper de te connecter avec un spécialiste expérimenté.;Recommander une personne compétente;Aff
Je vais te faire rencontrer l'expert interne adéquat.;Recommander une personne compétente;Aff
Je vais arranger une rencontre avec un professionnel qualifié.;Recommander une personne compétente;Aff
Je vais veiller à ce que tu sois mis en relation avec le spécialiste approprié.;Recommander une personne compétente;Aff
Je vais organiser une introduction avec un membre de l'équipe compétent.;Recommander une personne compétente;Aff
Je vais m'occuper de te mettre en contact avec l'expert interne.;Recommander une personne compétente;Aff
Je vais te faire rencontrer quelqu'un qui peut t'aider efficacement.;Recommander une personne compétente;Aff
Je vais arranger une rencontre avec un professionnel de confiance.;Recommander une personne compétente;Aff
Je vais veiller à ce que tu sois mis en relation avec le bon expert.;Recommander une personne compétente;Aff
Je vais organiser une présentation avec un spécialiste qualifié.;Recommander une personne compétente;Aff
Je vais m'occuper de te connecter avec le collaborateur approprié.;Recommander une personne compétente;Aff
Je vais te faire rencontrer un expert en la matière.;Recommander une personne compétente;Aff
Je vais arranger une rencontre avec quelqu'un de très compétent.;Recommander une personne compétente;Aff
Je vais veiller à ce que tu sois mis en relation avec un professionnel expérimenté.;Recommander une personne compétente;Aff
Je vais organiser une introduction avec un membre compétent de l'équipe.;Recommander une personne compétente;Aff
Je vais m'occuper de te mettre en contact avec l'expert en question.;Recommander une personne compétente;Aff
Je vais te faire rencontrer quelqu'un qui possède l'expertise requise.;Recommander une personne compétente;Aff
Je vais arranger une rencontre avec un spécialiste qualifié.;Recommander une personne compétente;Aff
Je vais veiller à ce que tu sois mis en relation avec le collaborateur adéquat.;Recommander une personne compétente;Aff
Je vais organiser une présentation avec un professionnel qualifié.;Recommander une personne compétente;Aff
Je vais m'occuper de te connecter avec un expert interne expérimenté.;Recommander une personne compétente;Aff
Je vais te faire rencontrer quelqu'un de très compétent dans ce domaine.;Recommander une personne compétente;Aff
Je vais arranger une rencontre avec un professionnel de l'entreprise.;Recommander une personne compétente;Aff
Je vais veiller à ce que tu sois mis en relation avec un spécialiste compétent.;Recommander une personne compétente;Aff
Je vais organiser une introduction avec le collaborateur idéal pour t'aider.;Recommander une personne compétente;Aff
Beinsûr, je vais te réidentifier.;Se réidentifier;Aff
Je vais te réidentifier.;Se réidentifier;Aff
Lançons la réidentification.;Se réidentifier;Aff
Parle à nouveau pour que je puisse te réidentifier.;Se réidentifier;Aff
Désolé si tu n'est pas la bonne personne, je vais essayer de t'identifier à nouveau.;Se réidentifier;Aff
Je vais t'identifier encore, attends un instant.;Se réidentifier;Aff
Lancement d'une nouvelle identification.;Se réidentifier;Aff
Désolé, je comprends que tu n'es pas la bonne personne, je vais te réidentifier.;Se réidentifier;Aff
Je vais voir si l'identité d'une autre personne te correspond dans la base de données.;Se réidentifier;Aff
Je vais te réidentifier pour être sûr que tu es la bonne personne.;Se réidentifier;Aff
Désolé, il semble que je me sois trompé, je vais voir si je peux te reconnaître à nouveau.;Se réidentifier;Aff
Je vais procéder à une réidentification immédiate.;Se réidentifier;Aff
Un instant, je vais te réidentifier maintenant.;Se réidentifier;Aff
Recommençons le processus d'identification pour être certain.;Se réidentifier;Aff
Je relance l'identification, restez patient.;Se réidentifier;Aff
Pour vérifier, je dois te réidentifier encore une fois.;Se réidentifier;Aff
Nouvelle identification en cours.;Se réidentifier;Aff
Je vais te réidentifier pour m'assurer de ton identité.;Se réidentifier;Aff
Laissez-moi refaire l'identification.;Se réidentifier;Aff
Vérifions ton identité une nouvelle fois.;Se réidentifier;Aff
On va recommencer l'identification tout de suite.;Se réidentifier;Aff
Refaisons la vérification de ton identité.;Se réidentifier;Aff
Je relance le processus d'identification.;Se réidentifier;Aff
Tentons une nouvelle identification.;Se réidentifier;Aff
Confirmons ton identité une seconde fois.;Se réidentifier;Aff
Assurons-nous de qui tu es avec une nouvelle identification.;Se réidentifier;Aff
Lançons un autre cycle d'identification.;Se réidentifier;Aff
Vérification de ton identité en cours.;Se réidentifier;Aff
Je réinitialise ton identification pour plus de précision.;Se réidentifier;Aff
Redémarrons le processus d'identification.;Se réidentifier;Aff
Relançons l'identification pour plus de certitude.;Se réidentifier;Aff
Assurons-nous de ton identité en relançant la reconnaissance.;Se réidentifier;Aff
Je réidentifie pour éviter toute erreur possible.;Se réidentifier;Aff
Je retente l'identification pour être sûr.;Se réidentifier;Aff
Je te réidentifie pour plus de précision.;Se réidentifier;Aff
Revérifions qui tu es.;Se réidentifier;Aff
Je relance l'identification pour confirmer.;Se réidentifier;Aff
Je confirme ton identité en te réidentifiant.;Se réidentifier;Aff
Je vais faire une réidentification rapide.;Se réidentifier;Aff
Assurons-nous de ton identité avec une nouvelle vérification.;Se réidentifier;Aff
Je vais procéder à une nouvelle identification.;Se réidentifier;Aff
Je vais vérifier à nouveau ton identité.;Se réidentifier;Aff
Redémarrons le processus de réidentification.;Se réidentifier;Aff
Je lance une nouvelle tentative d'identification.;Se réidentifier;Aff
Lançons une vérification supplémentaire de ton identité.;Se réidentifier;Aff
Je vais m'assurer de ton identité en te réidentifiant.;Se réidentifier;Aff
Recommençons la vérification de ton identité.;Se réidentifier;Aff
Je relance la procédure de réidentification.;Se réidentifier;Aff
Je vais te réidentifier une seconde fois.;Se réidentifier;Aff
Confirmons ton identité avec une nouvelle identification.;Se réidentifier;Aff
Je vais refaire ton identification.;Se réidentifier;Aff
Je vais relancer la vérification de ton identité.;Se réidentifier;Aff
Je vais vérifier de nouveau pour être sûr.;Se réidentifier;Aff
Je recommence la procédure d'identification.;Se réidentifier;Aff
Je vais vérifier encore une fois ton identité.;Se réidentifier;Aff
Je relance la reconnaissance de ton identité.;Se réidentifier;Aff
Je vais confirmer ton identité par une nouvelle vérification.;Se réidentifier;Aff
Je vais te réidentifier pour m'assurer de ta correspondance.;Se réidentifier;Aff
Je vais vérifier à nouveau pour plus de précision.;Se réidentifier;Aff
Je relance le processus pour confirmer ton identité.;Se réidentifier;Aff
Je vais retenter l'identification pour éviter toute confusion.;Se réidentifier;Aff
Je vais te réidentifier pour éviter toute erreur.;Se réidentifier;Aff
Je vérifie ton identité une nouvelle fois.;Se réidentifier;Aff
Je relance la vérification pour plus de certitude.;Se réidentifier;Aff
Je vais refaire l'identification pour être sûr.;Se réidentifier;Aff
Je vais lancer une nouvelle vérification de ton identité.;Se réidentifier;Aff
Je procède à une réidentification immédiate.;Se réidentifier;Aff
Je vais refaire la procédure d'identification.;Se réidentifier;Aff
Je vais vérifier ta correspondance à nouveau.;Se réidentifier;Aff
Je vais confirmer à nouveau ton identité.;Se réidentifier;Aff
Je relance l'identification pour plus de précision.;Se réidentifier;Aff
Je vais vérifier à nouveau pour plus de certitude.;Se réidentifier;Aff
Je retente l'identification pour confirmer.;Se réidentifier;Aff
Je relance la procédure pour m'assurer de ton identité.;Se réidentifier;Aff
Je vais refaire l'identification pour éviter toute confusion.;Se réidentifier;Aff
Je vais relancer la vérification pour plus de sécurité.;Se réidentifier;Aff
Je vais refaire la procédure pour m'assurer de ta correspondance.;Se réidentifier;Aff
Je vais vérifier à nouveau pour confirmer ton identité.;Se réidentifier;Aff
Je relance la procédure pour éviter toute erreur.;Se réidentifier;Aff
Je vais refaire l'identification pour plus de certitude.;Se réidentifier;Aff
Puis-je te réidentifier ?;Se réidentifier;Int
Veux-tu que je relance ton identification ?;Se réidentifier;Int
Souhaites-tu que je procède à une réidentification ?;Se réidentifier;Int
Est-ce que je dois te réidentifier ?;Se réidentifier;Int
Dois-je vérifier à nouveau ton identité ?;Se réidentifier;Int
Souhaites-tu une nouvelle identification ?;Se réidentifier;Int
Veux-tu que je relance la procédure de réidentification ?;Se réidentifier;Int
Puis-je recommencer ton identification ?;Se réidentifier;Int
Veux-tu que je confirme ton identité à nouveau ?;Se réidentifier;Int
Dois-je relancer la vérification de ton identité ?;Se réidentifier;Int
Est-ce que je dois refaire l'identification ?;Se réidentifier;Int
Souhaites-tu que je vérifie encore une fois ton identité ?;Se réidentifier;Int
Veux-tu une nouvelle vérification de ton identité ?;Se réidentifier;Int
Puis-je lancer une nouvelle tentative d'identification ?;Se réidentifier;Int
Dois-je procéder à une nouvelle identification ?;Se réidentifier;Int
Veux-tu que je retente l'identification ?;Se réidentifier;Int
Est-ce que je dois refaire la procédure d'identification ?;Se réidentifier;Int
Souhaites-tu que je relance l'identification ?;Se réidentifier;Int
Veux-tu que je procède à une nouvelle vérification ?;Se réidentifier;Int
Puis-je confirmer ton identité avec une nouvelle identification ?;Se réidentifier;Int
Dois-je relancer la reconnaissance de ton identité ?;Se réidentifier;Int
Souhaites-tu une vérification supplémentaire de ton identité ?;Se réidentifier;Int
Veux-tu que je recommence la vérification ?;Se réidentifier;Int
Est-ce que je dois refaire la vérification de ton identité ?;Se réidentifier;Int
Souhaites-tu que je te réidentifie pour plus de précision ?;Se réidentifier;Int
Veux-tu que je lance une nouvelle vérification de ton identité ?;Se réidentifier;Int
Puis-je refaire l'identification pour confirmer ?;Se réidentifier;Int
Dois-je retenter la procédure d'identification ?;Se réidentifier;Int
Est-ce que je dois relancer la vérification de ton identité ?;Se réidentifier;Int
Souhaites-tu une nouvelle confirmation de ton identité ?;Se réidentifier;Int
Veux-tu que je recommence l'identification pour être sûr ?;Se réidentifier;Int
Puis-je vérifier ton identité encore une fois ?;Se réidentifier;Int
Dois-je relancer le processus pour confirmer ton identité ?;Se réidentifier;Int
Est-ce que je dois refaire la procédure pour m'assurer de ton identité ?;Se réidentifier;Int
Souhaites-tu que je relance la reconnaissance de ton identité ?;Se réidentifier;Int
Veux-tu que je te réidentifie pour éviter toute confusion ?;Se réidentifier;Int
Puis-je recommencer la procédure pour plus de certitude ?;Se réidentifier;Int
Dois-je lancer une nouvelle tentative de reconnaissance ?;Se réidentifier;Int
Est-ce que je dois refaire la vérification pour plus de sécurité ?;Se réidentifier;Int
Souhaites-tu une nouvelle tentative de vérification de ton identité ?;Se réidentifier;Int
Puis-je procéder à une nouvelle tentative de réidentification ?;Se réidentifier;Int
Veux-tu que je relance la procédure de vérification ?;Se réidentifier;Int
Est-ce que je dois recommencer l'identification ?;Se réidentifier;Int
Souhaites-tu que je vérifie ton identité à nouveau ?;Se réidentifier;Int
Veux-tu que je confirme ton identité une seconde fois ?;Se réidentifier;Int
Puis-je relancer le processus de vérification de ton identité ?;Se réidentifier;Int
Dois-je retenter de t'identifier ?;Se réidentifier;Int
Est-ce que je dois lancer une nouvelle vérification de ton identité ?;Se réidentifier;Int
Souhaites-tu que je relance l'identification pour confirmer ?;Se réidentifier;Int
Veux-tu que je procède à une nouvelle tentative de vérification ?;Se réidentifier;Int
Puis-je vérifier ton identité une autre fois ?;Se réidentifier;Int
Dois-je recommencer la procédure de réidentification ?;Se réidentifier;Int
Est-ce que je dois refaire la tentative d'identification ?;Se réidentifier;Int
Souhaites-tu que je te réidentifie pour plus de précision ?;Se réidentifier;Int
Veux-tu que je relance le processus d'identification ?;Se réidentifier;Int
Puis-je refaire la procédure de vérification de ton identité ?;Se réidentifier;Int
Dois-je relancer la tentative de réidentification ?;Se réidentifier;Int
Est-ce que je dois confirmer ton identité à nouveau ?;Se réidentifier;Int
Souhaites-tu que je procède à une nouvelle tentative d'identification ?;Se réidentifier;Int
Veux-tu que je recommence la vérification de ton identité ?;Se réidentifier;Int
Puis-je relancer l'identification pour m'assurer de ton identité ?;Se réidentifier;Int
Dois-je refaire le processus pour confirmer ton identité ?;Se réidentifier;Int
Est-ce que je dois retenter la vérification de ton identité ?;Se réidentifier;Int
Souhaites-tu que je relance la procédure pour vérifier ton identité ?;Se réidentifier;Int
Veux-tu que je procède à une nouvelle identification ?;Se réidentifier;Int
Puis-je recommencer l'identification pour plus de certitude ?;Se réidentifier;Int
Dois-je relancer le processus de vérification ?;Se réidentifier;Int
Est-ce que je dois refaire la tentative pour confirmer ton identité ?;Se réidentifier;Int
Souhaites-tu que je te réidentifie encore une fois ?;Se réidentifier;Int
Veux-tu que je relance la vérification pour être sûr ?;Se réidentifier;Int
Puis-je refaire l'identification pour plus de précision ?;Se réidentifier;Int
Dois-je recommencer la procédure pour vérifier ton identité ?;Se réidentifier;Int
Est-ce que je dois relancer la tentative de vérification de ton identité ?;Se réidentifier;Int
Souhaites-tu une nouvelle vérification de ton identité pour éviter toute confusion ?;Se réidentifier;Int
Veux-tu que je procède à une nouvelle tentative de reconnaissance ?;Se réidentifier;Int
Puis-je recommencer la vérification pour confirmer ton identité ?;Se réidentifier;Int
Dois-je relancer le processus de réidentification pour plus de sécurité ?;Se réidentifier;Int
Est-ce que je dois refaire la tentative de réidentification pour m'assurer de ton identité ?;Se réidentifier;Int
Souhaites-tu que je relance le processus pour vérifier à nouveau ton identité ?;Se réidentifier;Int
Veux-tu que je procède à une nouvelle tentative de vérification de ton identité ?;Se réidentifier;Int
Bonne journée !;Dire au revoir;Aff
C'était sympa de te voir, à la prochaine !;Dire au revoir;Aff
Je dois y aller maintenant, à plus tard !;Dire au revoir;Aff
À la revoyure !;Dire au revoir;Aff
À bientôt j'espère !;Dire au revoir;Aff
Je te laisse, à la prochaine fois !;Dire au revoir;Aff
On se retrouve plus tard !;Dire au revoir;Aff
À tout à l'heure !;Dire au revoir;Aff
À la prochaine fois !;Dire au revoir;Aff
Je file, salut !;Dire au revoir;Aff
On se dit à plus tard !;Dire au revoir;Aff
À très vite !;Dire au revoir;Aff
Je vais te laisser, à plus !;Dire au revoir;Aff
À plus tard, prends soin de toi !;Dire au revoir;Aff
À la revanche !;Dire au revoir;Aff
On se revoit bientôt j'espère !;Dire au revoir;Aff
Je te dis au revoir, à la prochaine !;Dire au revoir;Aff
Je m'en vais, à la prochaine fois !;Dire au revoir;Aff
À tout de suite !;Dire au revoir;Aff
On se retrouve plus tard, d'accord ?;Dire au revoir;Int
On se voit bientôt, salut !;Dire au revoir;Aff
Bon vent !;Dire au revoir;Aff
À la revoyure, camarade !;Dire au revoir;Aff
À plus, l'ami !;Dire au revoir;Aff
À la prochaine, bonne route !;Dire au revoir;Aff
On se capte !;Dire au revoir;Aff
À plus tard, bon courage !;Dire au revoir;Aff
Salut, à une prochaine !;Dire au revoir;Aff
À bientôt, prends soin !;Dire au revoir;Aff
À la prochaine, en toute amitié !;Dire au revoir;Aff
On se dit à plus, tranquille !;Dire au revoir;Aff
À plus tard, bonne continuation !;Dire au revoir;Aff
À la revoyure, porte-toi bien !;Dire au revoir;Aff
Je file, à une autre fois !;Dire au revoir;Aff
On se voit plus tard, d'accord ?;Dire au revoir;Int
À très vite, peut-être !;Dire au revoir;Aff
À bientôt !;Dire au revoir;Aff
À la prochaine !;Dire au revoir;Aff
À plus tard !;Dire au revoir;Aff
Adieu !;Dire au revoir;Aff
À demain !;Dire au revoir;Aff
À tantôt !;Dire au revoir;Aff
À la semaine prochaine !;Dire au revoir;Aff
À la prochaine occasion !;Dire au revoir;Aff
À une autre fois !;Dire au revoir;Aff
À plus !;Dire au revoir;Aff
À plus dans l'autobus !;Dire au revoir;Aff
Portez-vous bien !;Dire au revoir;Aff
Au plaisir de te revoir bientôt !;Dire au revoir;Aff
Je m'éclipse, à plus tard !;Dire au revoir;Aff
À une prochaine rencontre, salut !;Dire au revoir;Aff
Bon courage, à bientôt !;Dire au revoir;Aff
Je dois filer, à une prochaine fois !;Dire au revoir;Aff
À la revoyure, prends soin de toi !;Dire au revoir;Aff
À plus, fais attention à toi !;Dire au revoir;Aff
On se dit à bientôt !;Dire au revoir;Aff
Ciao, à la prochaine !;Dire au revoir;Aff
Je te laisse, bon vent !;Dire au revoir;Aff
À la prochaine, amuse-toi bien !;Dire au revoir;Aff
Adieu, et bonne continuation !;Dire au revoir;Aff
À plus tard, bonne route !;Dire au revoir;Aff
Salut, à un de ces jours !;Dire au revoir;Aff
Je m'en vais, on se revoit bientôt !;Dire au revoir;Aff
À une prochaine, bonne journée !;Dire au revoir;Aff
On se capte plus tard !;Dire au revoir;Aff
À la prochaine, prends soin de toi !;Dire au revoir;Aff
À la prochaine, fais gaffe à toi !;Dire au revoir;Aff
Bon voyage, à la prochaine !;Dire au revoir;Aff
On se dit au revoir ici, à plus tard !;Dire au revoir;Aff
Au revoir, à une prochaine !;Dire au revoir;Aff
À bientôt, fais attention à toi !;Dire au revoir;Aff
Je m'éclipse, on se revoit bientôt !;Dire au revoir;Aff
Bonne route, à la prochaine !;Dire au revoir;Aff
À la prochaine, salut !;Dire au revoir;Aff
On se dit au revoir, à plus !;Dire au revoir;Aff
Adieu, et bonne chance !;Dire au revoir;Aff
À une prochaine fois, salut !;Dire au revoir;Aff
À bientôt, fais de beaux rêves !;Dire au revoir;Aff
Je te dis à plus tard, d'accord ?;Dire au revoir;Int
On se revoit bientôt, salut !;Dire au revoir;Aff
Bonne continuation, à la prochaine !;Dire au revoir;Aff
À plus tard, et prends soin de toi !;Dire au revoir;Aff
Je file, à plus tard !;Dire au revoir;Aff
Bon vent, et à plus !;Dire au revoir;Aff
On se voit bientôt, fais attention !;Dire au revoir;Aff
Salut, à une prochaine fois !;Dire au revoir;Aff
À plus tard, bonne chance !;Dire au revoir;Aff
On se retrouve bientôt, salut !;Dire au revoir;Aff
Au revoir, et bon vent !;Dire au revoir;Aff
À bientôt, et porte-toi bien !;Dire au revoir;Aff
À plus, et fais attention !;Dire au revoir;Aff
Au revoir, et bonne route !;Dire au revoir;Aff
Je m'en vais, à une prochaine fois !;Dire au revoir;Aff
À la revoyure, et bonne continuation !;Dire au revoir;Aff
Je te laisse, on se revoit bientôt !;Dire au revoir;Aff
À plus, fais gaffe !;Dire au revoir;Aff
On se retrouve plus tard, salut !;Dire au revoir;Aff
Bonne journée, et à la prochaine !;Dire au revoir;Aff
À bientôt, et amuse-toi bien !;Dire au revoir;Aff
On se voit plus tard, ok ?;Dire au revoir;Int
Au revoir, et bon courage !;Dire au revoir;Aff
À plus tard, et amuse-toi bien !;Dire au revoir;Aff
À la prochaine, porte-toi bien !;Dire au revoir;Aff
On se capte bientôt !;Dire au revoir;Aff
Bon vent, et prends soin !;Dire au revoir;Aff
